SiteID,Description,Easting,Northing,RiverID,River
1001,FLIXTON ,374200,393800,107,MERSEY
1002,ABOVE HOWLEY WEIR ,361600,388000,107,MERSEY
1003,SALFORD ,382300,399000,86,IRWELL
1004,"TAME STREET, PORTWOOD ",390000,391300,147,TAME
1005,FRODSHAM ,353000,378500,177,WEAVER
1006,ALT ABOVE ALTMOUTH PUMPING STATION,329200,405100,6,ALT
1007,MITTON ,371600,438800,131,RIBBLE
1008,SAMLESBURY ,359000,430500,131,RIBBLE
1009,WHALLEY ,372900,436100,26,CALDER
1010,ST MICHAELS ,346200,441100,190,WYRE
1011,FORGE WEIR ,351400,464800,100,LUNE
1012,SEDGWICK WEIR ,350900,487500,90,KENT
1013,MILNTHORPE ,348900,481300,19,BEELA
1014,"LOW WOOD BRIDGE,HAVERTHWAITE ",334600,483700,92,LEVEN
1015,WANES BLADES BRIDGE ,347600,412600,54,DOUGLAS
1016,WALTON GREEN ,355100,428200,46,DARWEN
1017,TEMPLE SOWERBY ,360400,528100,64,EDEN
1018,UDFORD ,357500,530400,60,EAMONT
1019,BEAUMONT ,335100,559300,64,EDEN
1020,BURNFOOT ,336400,566500,69,ESK
1021,RIVER LYNE AT LYNEFOOT,336500,565200,102,LYNE
1022,RIVER DERWENT AT WORKINGTON,300800,529100,49,DERWENT
1023,DENNY BRIDGE ,350400,464700,100,LUNE
1024,MILNTHORPE,349500,481400,19,BEELA
1025,BEAUMONT ,335800,558800,64,EDEN
2001,NORHAM BRIDGE ,389000,647300,167,TWEED
2009,WARKWORTH ,423800,606000,40,COQUET
2012,SHEEPWASH DAM ,425600,585800,173,WANSBECK
2015,BEDINGTON BRIDGE ,426700,581500,22,BLYTH
2020,CHOLLERFORD ,391900,570600,119,NORTH TYNE
2021,WARDEN BRIDGE ,391000,566000,140,SOUTH TYNE
2026,CLOCKBURN DRIFT ,418600,560400,49,DERWENT
2044,LAMB BRIDGE ,429500,552300,176,WEAR
2058,BROKEN SCAR ,426500,513100,152,TEES
2061,LOW WORSALL ,439100,510200,152,TEES
2923,WYLAM ,411900,564500,168,TYNE
3006,DUNHAM ,482000,374500,166,TRENT
3007,NOTTINGHAM ,458100,338300,166,TRENT
3008,YOXALL ,413100,317700,166,TRENT
3009,BAWTRY ,465600,392700,83,IDLE
3010,REDHILL LOCK ,449300,330300,136,SOAR
3011,WILNE ,445200,331500,49,DERWENT
3012,STOURPORT FOOTBRIDGE ,381400,270900,143,STOUR
3013,CHETWYND ,418700,313800,147,TAME
3014,MILFORD ,397500,321500,141,SOWE
3015,MONKS BRIDGE ,426800,327000,55,DOVE
3019,ATCHAM ,355300,309300,157,TERN
3029,POWICK ,383600,252500,156,TEME
3227,HAW BRIDGE ,384500,227800,134,SEVERN
3416,EVESHAM ROAD BRIDGE ,403400,243100,13,AVON
3752,SHELTON ,346700,313800,134,SEVERN
4001,HEMPHOLME LOCK ,507900,451000,82,HULL
